Site,Analyte,Sample.Date,ppt,lab.qual
Fayetteville-Rockfish.Creek.WWTP,N.EtFOSAA,9/17/2019,,3.63
Greensboro-TZ.Osborne.WRF,N.EtFOSAA,9/17/2019,,15
Town.of.Burgaw.Collection.System,N.MeFOSAA,9/17/2019,,0.244
East.Burlington.WWTP,N.MeFOSAA,9/17/2019,,1.75
South.Burlington.WWTP,N.MeFOSAA,9/17/2019,,1.82
Fayetteville-Cross.Creek.WWTP,N.MeFOSAA,9/17/2019,,3.48
Greensboro-TZ.Osborne.WRF,N.MeFOSAA,9/17/2019,,15
Fayetteville-Rockfish.Creek.WWTP,N.MeFOSAA,9/17/2019,,36.3
Town.of.Burgaw.Collection.System,PFBA,9/17/2019,,0.244
East.Burlington.WWTP,PFBA,9/17/2019,,1.75
South.Burlington.WWTP,PFBA,9/17/2019,,1.82
Fayetteville-Cross.Creek.WWTP,PFBA,9/17/2019,12.5,
Fayetteville-Rockfish.Creek.WWTP,PFBA,9/17/2019,5.75,
Greensboro-TZ.Osborne.WRF,PFBA,9/17/2019,13,
Town.of.Burgaw.Collection.System,PFBS,9/17/2019,,0.244
East.Burlington.WWTP,PFBS,9/17/2019,,1.75
South.Burlington.WWTP,PFBS,9/17/2019,,1.82
Fayetteville-Cross.Creek.WWTP,PFBS,9/17/2019,4.3,
Fayetteville-Rockfish.Creek.WWTP,PFBS,9/17/2019,3.79,
Greensboro-TZ.Osborne.WRF,PFBS,9/17/2019,25,
Town.of.Burgaw.Collection.System,PFDA,9/17/2019,,0.244
East.Burlington.WWTP,PFDA,9/17/2019,,1.75
Fayetteville-Cross.Creek.WWTP,PFDA,9/17/2019,1.72,
Fayetteville-Rockfish.Creek.WWTP,PFDA,9/17/2019,1.15,
South.Burlington.WWTP,PFDA,9/17/2019,4.7,
Greensboro-TZ.Osborne.WRF,PFDA,9/17/2019,0.8,
East.Burlington.WWTP,PFDoA,9/17/2019,,1.75
South.Burlington.WWTP,PFDoA,9/17/2019,,1.82
Fayetteville-Rockfish.Creek.WWTP,PFDoA,9/17/2019,,1.82
Greensboro-TZ.Osborne.WRF,PFDoA,9/17/2019,,7.4
Fayetteville-Cross.Creek.WWTP,PFDoA,9/17/2019,0.05,
Town.of.Burgaw.Collection.System,PFDoA,9/17/2019,1.4,
Town.of.Burgaw.Collection.System,PFDS,9/17/2019,,0.244
Fayetteville-Cross.Creek.WWTP,PFDS,9/17/2019,,1.69
East.Burlington.WWTP,PFDS,9/17/2019,,1.75
Fayetteville-Rockfish.Creek.WWTP,PFDS,9/17/2019,,1.76
South.Burlington.WWTP,PFDS,9/17/2019,,1.82
Greensboro-TZ.Osborne.WRF,PFDS,9/17/2019,,7.1
Town.of.Burgaw.Collection.System,PFHpA,9/17/2019,,0.244
East.Burlington.WWTP,PFHpA,9/17/2019,5.39,
South.Burlington.WWTP,PFHpA,9/17/2019,24.7,
Fayetteville-Cross.Creek.WWTP,PFHpA,9/17/2019,14.65,
Fayetteville-Rockfish.Creek.WWTP,PFHpA,9/17/2019,11.35,
Greensboro-TZ.Osborne.WRF,PFHpA,9/17/2019,7.4,
Town.of.Burgaw.Collection.System,PFHpS,9/17/2019,,0.244
Greensboro-TZ.Osborne.WRF,PFHpS,9/17/2019,,1.7
Fayetteville-Rockfish.Creek.WWTP,PFHpS,9/17/2019,,1.72
East.Burlington.WWTP,PFHpS,9/17/2019,,1.75
South.Burlington.WWTP,PFHpS,9/17/2019,,1.82
Fayetteville-Cross.Creek.WWTP,PFHpS,9/17/2019,0.44,
Town.of.Burgaw.Collection.System,PFHxA,9/17/2019,,0.244
East.Burlington.WWTP,PFHxA,9/17/2019,8,
South.Burlington.WWTP,PFHxA,9/17/2019,73.1,
Fayetteville-Cross.Creek.WWTP,PFHxA,9/17/2019,35.25,
Fayetteville-Rockfish.Creek.WWTP,PFHxA,9/17/2019,20.2,
Greensboro-TZ.Osborne.WRF,PFHxA,9/17/2019,18,
Town.of.Burgaw.Collection.System,PFHxS,9/17/2019,,0.244
Fayetteville-Rockfish.Creek.WWTP,PFHxS,9/17/2019,6.33,
East.Burlington.WWTP,PFHxS,9/17/2019,5.1,
