"Type","Site","Analyte","Sample.Date","ppt","lab.qual","limit"
"WWTP","Durham.County.Triangle.Wastewater.Treatment.Plant","PFUnA",2019-07-08,NA,"U","2.88"
"WWTP","Durham.County.Triangle.Wastewater.Treatment.Plant","PFOA",2019-07-08,7.72,"",""
"WWTP","Durham.County.Triangle.Wastewater.Treatment.Plant","PFOS",2019-07-08,11,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFBA",2019-07-08,3.1,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFBS",2019-07-08,2.5,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFDS",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFDA",2019-07-08,2.9,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFDoA",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFHpS",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFHpA",2019-07-08,6.5,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFHxS",2019-07-08,9.4,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFHxA",2019-07-08,24.7,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFNS",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFNA",2019-07-08,NA,"U","4.1"
"WWTP","Greensboro-TZ.Osborne.WRF","PFOSA",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","N-EtFOSAA",2019-07-08,NA,"U","4.1"
"WWTP","Greensboro-TZ.Osborne.WRF","N-MeFOSAA",2019-07-08,NA,"U","4.1"
"WWTP","Greensboro-TZ.Osborne.WRF","PFPeS",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFPeA",2019-07-08,22,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFTeA",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFTriA",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFUnA",2019-07-08,NA,"U","2.56"
"WWTP","Greensboro-TZ.Osborne.WRF","PFOA",2019-07-08,11.2,"",""
"WWTP","Greensboro-TZ.Osborne.WRF","PFOS",2019-07-08,25.6,"",""
"WWTP","North.Harnett.Regional","PFBA",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFBS",2019-07-08,4.65,"",""
"WWTP","North.Harnett.Regional","PFDS",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFDA",2019-07-08,1.04,"JB",""
"WWTP","North.Harnett.Regional","PFDoA",2019-07-08,0.62,"JB",""
"WWTP","North.Harnett.Regional","PFHpS",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFHpA",2019-07-08,14.9,"",""
"WWTP","North.Harnett.Regional","PFHxS",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFHxA",2019-07-08,38.7,"",""
"WWTP","North.Harnett.Regional","PFNS",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFNA",2019-07-08,2.13,"B",""
"WWTP","North.Harnett.Regional","PFOSA",2019-07-08,NA,"U","1.27"
"WWTP","North.Harnett.Regional","N-EtFOSAA",2019-07-08,NA,"",""
"WWTP","North.Harnett.Regional","N-MeFOSAA",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFPeS",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFPeA",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","PFTeA",2019-07-08,0.964,"J",""
"WWTP","North.Harnett.Regional","PFTriA",2019-07-08,0.656,"JBQ",""
"WWTP","North.Harnett.Regional","PFUnA",2019-07-08,NA,"U","1.25"
"WWTP","North.Harnett.Regional","HFPO-DA",2019-07-08,NA,"U","43.79"
"WWTP","North.Harnett.Regional","PFOA",2019-07-08,11.4,"",""
"WWTP","North.Harnett.Regional","PFOS",2019-07-08,29.4,"",""
"WWTP","City.of.High.Point.Eastside.WWTP","PFBA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFBS",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFDS",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFDA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFHpS",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFHpA",2019-07-08,6.62,"",""
"WWTP","City.of.High.Point.Eastside.WWTP","PFHxS",2019-07-08,11.3,"",""
"WWTP","City.of.High.Point.Eastside.WWTP","PFHxA",2019-07-08,18.4,"B",""
"WWTP","City.of.High.Point.Eastside.WWTP","PFNS",2019-07-08,NA,"U","2.672"
"WWTP","City.of.High.Point.Eastside.WWTP","PFNA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFOSA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","N-EtFOSAA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","N-MeFOSAA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFPeS",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFPeA",2019-07-08,27.1,"",""
"WWTP","City.of.High.Point.Eastside.WWTP","PFTeA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFTriA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFUnA",2019-07-08,NA,"U","2.67"
"WWTP","City.of.High.Point.Eastside.WWTP","PFOA",2019-07-08,14.2,"",""
"WWTP","City.of.High.Point.Eastside.WWTP","PFOS",2019-07-08,27.7,"",""
"WWTP","Town.of.Ramseur.WWTP","PFBA",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFBS",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFDS",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFDA",2019-07-08,0.586,"",""
"WWTP","Town.of.Ramseur.WWTP","PFDoA",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFHpS",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFHpA",2019-07-08,1.24,"",""
"WWTP","Town.of.Ramseur.WWTP","PFHxS",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFHxA",2019-07-08,6.97,"",""
"WWTP","Town.of.Ramseur.WWTP","PFNS",2019-07-08,NA,"U","0.31"
"WWTP","Town.of.Ramseur.WWTP","PFNA",2019-07-08,0.782,"",""
"WWTP","Town.of.Ramseur.WWTP","PFOSA",2019-07-08,NA,"U","0.316"
"WWTP","Town.of.Ramseur.WWTP","N-EtFOSAA",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","N-MeFOSAA",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFPeS",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","PFPeA",2019-07-08,41.8,"",""
"WWTP","Town.of.Ramseur.WWTP","PFUnA",2019-07-08,NA,"U","0.311"
"WWTP","Town.of.Ramseur.WWTP","HFPO-DA",2019-07-08,NA,"U","10.9"
"WWTP","Town.of.Ramseur.WWTP","PFOA",2019-07-08,2.93,"",""
"WWTP","Town.of.Ramseur.WWTP","PFOS",2019-07-08,6.52,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFBA",2019-07-08,12.1,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFBS",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFDS",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFDA",2019-07-08,1.86,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFDoA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFHpS",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFHpA",2019-07-08,18.8,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFHxS",2019-07-08,31.9,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFHxA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFNS",2019-07-08,2.51,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFNA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFOSA",2019-07-08,NA,"U","0.32"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","N-EtFOSAA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","N-MeFOSAA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFPeS",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFPeA",2019-07-08,50.8,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFTeA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFTriA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFUnA",2019-07-08,NA,"U","0.316"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","HFPO-DA",2019-07-08,NA,"U","11.06"
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFOA",2019-07-08,11.6,"",""
"WWTP","Sanford-Big.Buffalo.Creek.WWTP","PFOS",2019-07-08,46.3,"",""
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFBA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFBS",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFDS",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFDA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFDoA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFHpS",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFHpA",2019-07-08,2.1,"J",""
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFHxS",2019-07-08,2,"J",""
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFHxA",2019-07-08,9.94,"B",""
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFNS",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFNA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFOSA",2019-07-08,NA,"U","2.56"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","N-EtFOSAA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","N-MeFOSAA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFPeS",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFPeA",2019-07-08,14.5,"B",""
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFTeA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFTriA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFUnA",2019-07-08,NA,"U","2.52"
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFOA",2019-07-08,5.49,"",""
"WWTP","Siler.City.Waste.Water.Treatment.Plant","PFOS",2019-07-08,5.66,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFBA",2019-07-09,4.22,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFBS",2019-07-09,12.3,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFDS",2019-07-09,NA,"U","1.73"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFDA",2019-07-09,1.28,"J",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFDoA",2019-07-09,NA,"U","1.79"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFHpS",2019-07-09,NA,"U","1.7"
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFHpA",2019-07-09,4.79,"",""
"WWTP","Wilmington-James.A.Loughlin(Northside).WWTP","PFHxS",2019-07-09,3.78,"",""
