lat,long,Site,Sample.Date,PFBA,PFBS,PFDS,PFDA,PFDoA,PFHpS,PFHpA,PFHxS,PFHxA,PFNS,PFNA,PFOSA,N-EtFOSAA,N-MeFOSAA,PFPeS,PFPeA,PFTeA,PFTriA,PFUnA,HFPO-DA,PFOA,PFOS,PFBA.lab,PFBS.lab,PFDS.lab,PFDA.lab,PFDoA.lab,PFHpS.lab,PFHpA.lab,PFHxS.lab,PFHxA.lab,PFNS.lab,PFNA.lab,PFOSA.lab,N-EtFOSAA.lab,N-MeFOSAA.lab,PFPeS.lab,PFPeA.lab,PFTeA.lab,PFTriA.lab,PFUnA.lab,HFPO-DA.lab,PFOA.lab,PFOS.lab,sum_pfas,sum_pfoa.pfos
35.8802467,-78.8932025,Durham.County.Triangle.Wastewater.Treatment.Plant,7/8/2019,,,,1.87,,,3.4,,10.7,,1.42,,,,,36.4,,,,7.72,11,,U (<2.88),U (<2.88),U (<2.88),J,U (<2.88),U (<2.88),,U (<2.88),B,U (<2.88),J,U (<2.92),U (<2.88),U (<2.88),U (<2.88),,U (<2.88),U (<2.88),U (<2.88),,,,72.51,11
34.26246994,-77.92142112,Wilmington-James.A.Loughlin(Northside).WWTP,7/9/2019,4.22,12.3,,1.28,,,4.79,3.78,14,,1.27,,,,,15.6,,,,,6.61,8.83,,,U (<1.73),J,U (<1.79),U (<1.70),,,,U (<1.71),J,U (<1.66),U (<1.68),U (<17.9),U (<1.68),,U (<8.93),U (<8.93),U (<1.79),,,,72.68,15.44
36.04983302,-79.37369128,City.of.Graham,7/23/2019,,,,1.25,,,,,,,1.77,,,,,65.6,,,,,6.5,,U (<0.233),U (<1.40),U (<0.233),,U (<0.233),U (<0.233),U (<0.233),U (<0.233),U (<0.233),U (<0.233),,U (<0.355),U (<0.233),U (<0.233),U (<0.233),,,U (<0.233),U (<0.233),U (<8.16),,U (<0.233),75.12,6.5
36.02454813,-79.36944141,South.Burlington.WWTP,7/16/2019,,,,,,,4.62,,13.9,,,,,,,35.6,,,,,13.2,20.2,U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),,U (<2.75),B,U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),U (<2.75),,U (<2.75),U (<2.75),U (<2.75),,,,87.52,33.4
34.96435311,-78.83344791,Fayetteville-Rockfish.Creek.WWTP,7/16/2019,,,,1.23,,,8.63,12.1,20,,1.28,,,,,24.7,,,,,10.9,19.6,U (<2.95),U (<2.95),U (<2.95),J,U (<2.95),U (<2.95),,,B,U (<2.95),J,U (<2.95),U (<2.95),U (<2.95),U (<2.95),,U (<2.95),U (<2.95),U (<2.95),,,,98.44,30.5
35.40727843,-78.8203801,North.Harnett.Regional,7/8/2019,,4.65,,1.04,0.62,,14.9,,38.7,,2.13,,,,,,0.964,0.656,,,11.4,29.4,U (<1.25),,U (<1.25),JB,JB,U (<1.25),,U (<1.25),,U (<1.25),B,U (<1.27),,U (<1.25),U (<1.25),U (<1.25),J,JBQ,U (<1.25),U (<43.79),,,104.46,40.8
35.94262001,-79.90908086,City.of.High.Point.Eastside.WWTP,7/8/2019,,,,,,,6.62,11.3,18.4,,,,,,,,27.1,,,,14.2,27.7,U (<2.67),U (<2.67),U (<2.67),U (<2.67),,U (<2.67),,,B,U (<2.672),U (<2.67),U (<2.67),U (<2.67),U (<2.67),U (<2.67),,U (<2.67),U (<2.67),U (<2.67),,,,105.32,41.9
36.09864301,-79.68893648,Greensboro-TZ.Osborne.WRF,7/8/2019,3.1,2.5,,2.9,,,6.5,9.4,24.7,,,,,,,22,,,,11.2,25.6,,,,U (<2.56),,U (<2.56),U (<2.56),,,,U (<2.56),U (<4.1),U (<2.56),U (<4.1),U (<4.1),U (<2.56),,U (<2.56),U (<2.56),U (<2.56),,,,107.9,25.6
36.30801981,-79.51739008,City.of.Reidsville,7/9/2019,,,,3.47,,,7.34,,68.3,,2.68,,,,,,,,,,19.9,17.3,U (<2.54),U (<2.54),U (<2.54),,U (<2.54),U (<2.54),,U (<2.54),,U (<2.54),,U (<2.57),U (<2.54),U (<2.54),U (<2.54),U (<2.54),U (<2.54),U (<2.54),U (<2.54),,,,118.99,37.2
34.27175034,-78.0055035,Northeast.Brunswick.Regional,7/8/2019,10.6,,,2.45,,,11.7,,27.9,,1.69,,,,,77.8,1.13,0.155,,,,0.944,,U (<0.323),U (<0.323),,U (<0.323),U (<0.323),,U (<0.323),,U (<0.323),,U (<0.323),U (<0.323),U (<0.323),U (<0.323),,,JB,U (<0.323),U (<11.3),,,134.369,0.944
35.05953494,-78.86003082,Fayetteville-Cross.Creek.WWTP,7/16/2019,21.3,,,2.97,,,11.9,20.4,35.5,,1.77,,,,,30,,,,,18.2,26.9,,U (<2.75),U (<2.75),,U (<2.75),U (<2.75),,,,U (<2.75),J,U (<2.75),U (<2.75),U (<2.75),U (<2.75),,U (<2.75),U (<2.75),U (<2.75),,,,168.94,45.1
35.54719755,-79.21987282,Sanford-Big.Buffalo.Creek.WWTP,7/8/2019,12.1,,,1.86,,,18.8,31.9,,2.51,,,,,,50.8,,,,,11.6,46.3,,U (<0.316),U (<0.316),,U (<0.316),U (<0.316),,,U (<0.316),,U (<0.316),U (<0.320),U (<0.316),U (<0.316),U (<0.316),,U (<0.316),U (<0.316),U (<0.316),U (<11.06),,,175.87,57.9
36.09382721,-79.37771112,East.Burlington.WWTP,7/16/2019,116,49.5,,20.8,4.86,,873,,511,,11.7,,8.37,16.6,,374,,,4.97,,73,49.8,,,U (<2.62),,,U (<2.62),,U (<2.62),,U (<2.62),,U (<2.62),,,U (<2.62),,U (<2.62),U (<2.62),,,,,2113.6,122.8
