"Site","Analyte","Sample.Date","ppt","lab.qual","chain.length","lat","long"
"Wilmington-M'Kean.Maffitt(Southside.WWTP","PFUnA",2019-09-09,NA,1.77,"long",34.16600449,-77.94528851
"Wilmington-James.A.Loughlin(Northside.WWTP","PFUnA",2019-09-09,NA,1.86,"long",34.26246994,-77.92142112
"Durham.County.Triangle.Wastewater.Treatment.Plant","PFUnA",2019-09-09,NA,1.89,"long",35.8802467,-78.8932025
"City.of.Durham-South.Durham.Water.Reclamation","PFUnA",2019-09-09,NA,4.87,"long",35.90402079,-78.97846588
"Siler.City.Waste.Water.Treatment.Plant","N.EtFOSAA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","N.MeFOSAA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFBA",2019-09-08,NA,1.68,"short",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFBS",2019-09-08,NA,1.68,"short",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFDA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFDoA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFDS",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFHpA",2019-09-08,2.05,NA,"short",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFHpS",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFHxA",2019-09-08,6.15,NA,"short",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFHxS",2019-09-08,1.46,NA,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFNA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFNS",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFOA",2019-09-08,3.71,NA,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFOS",2019-09-08,3.89,NA,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFOSA",2019-09-08,NA,2.53,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFPeA",2019-09-08,NA,1.68,"short",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFPeS",2019-09-08,NA,1.68,"short",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFTeA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFTriA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"Siler.City.Waste.Water.Treatment.Plant","PFUnA",2019-09-08,NA,1.68,"long",35.72833511,-79.42704286
"City.of.Asheboro.WWTP","HFPO.DA",2019-09-05,NA,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","N.EtFOSAA",2019-09-05,4.09,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","N.MeFOSAA",2019-09-05,NA,1.7,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFBA",2019-09-05,NA,1.7,"short",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFBS",2019-09-05,NA,1.7,"short",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFDA",2019-09-05,4.51,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFDoA",2019-09-05,7.07,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFDS",2019-09-05,24.4,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFHpA",2019-09-05,5.95,NA,"short",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFHpS",2019-09-05,2.03,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFHxA",2019-09-05,12.4,NA,"short",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFHxS",2019-09-05,NA,1.7,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFNA",2019-09-05,3.87,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFNS",2019-09-05,2.19,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFOA",2019-09-05,11.7,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFOS",2019-09-05,19.2,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFOSA",2019-09-05,NA,2.57,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFPeA",2019-09-05,NA,1.7,"short",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFPeS",2019-09-05,NA,1.7,"short",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFTeA",2019-09-05,11.4,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFTriA",2019-09-05,7.15,NA,"long",35.76613469,-79.78579884
"City.of.Asheboro.WWTP","PFUnA",2019-09-05,5.04,NA,"long",35.76613469,-79.78579884
"Town.of.Ramseur.WWTP","4.2",2019-09-04,NA,1.24,"short",35.72183182,-79.65364379
"North.Harnett.Regional","4.2",2019-09-04,NA,1.28,"short",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","4.2",2019-09-04,6.86,NA,"short",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","6.2",2019-09-04,NA,1.24,"short",35.72183182,-79.65364379
"North.Harnett.Regional","6.2",2019-09-04,NA,1.28,"short",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","6.2",2019-09-04,2650,NA,"short",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","8.2",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","8.2",2019-09-04,0.157,NA,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","8.2",2019-09-04,4.68,NA,"long",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","HFPO.DA",2019-09-04,NA,43.3,"long",35.72183182,-79.65364379
"North.Harnett.Regional","HFPO.DA",2019-09-04,NA,44.91,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","HFPO.DA",2019-09-04,NA,45.6,"long",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","N.EtFOSAA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","N.EtFOSAA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","N.EtFOSAA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","N.EtFOSAA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","N.MeFOSAA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","N.MeFOSAA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","N.MeFOSAA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","N.MeFOSAA",2019-09-04,NA,12,"long",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","PFBA",2019-09-04,NA,1.24,"short",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP","PFBA",2019-09-04,NA,1.3,"short",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFBA",2019-09-04,NA,39,"short",35.67154993,-78.94119022
"North.Harnett.Regional","PFBA",2019-09-04,13.2,NA,"short",35.40727843,-78.8203801
"Town.of.Ramseur.WWTP","PFBS",2019-09-04,NA,1.24,"short",35.72183182,-79.65364379
"North.Harnett.Regional","PFBS",2019-09-04,NA,1.28,"short",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFBS",2019-09-04,NA,1.3,"short",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFBS",2019-09-04,NA,9.7,"short",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","PFDA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP","PFDA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFDA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"North.Harnett.Regional","PFDA",2019-09-04,0.24,NA,"long",35.40727843,-78.8203801
"Town.of.Ramseur.WWTP","PFDoA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFDoA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFDoA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFDoA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","PFDS",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFDS",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFDS",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFDS",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","PFHpA",2019-09-04,NA,1.24,"short",35.72183182,-79.65364379
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHpA",2019-09-04,NA,9.7,"short",35.67154993,-78.94119022
"North.Harnett.Regional","PFHpA",2019-09-04,29.9,NA,"short",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFHpA",2019-09-04,122,NA,"short",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","PFHpS",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFHpS",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHpS",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Sanford-Big.Buffalo.Creek.WWTP","PFHpS",2019-09-04,16.6,NA,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHxA",2019-09-04,14,NA,"short",35.67154993,-78.94119022
"North.Harnett.Regional","PFHxA",2019-09-04,36.2,NA,"short",35.40727843,-78.8203801
"Town.of.Ramseur.WWTP","PFHxA",2019-09-04,4.64,NA,"short",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP","PFHxA",2019-09-04,61.8,NA,"short",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","PFHxS",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFHxS",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFHxS",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Sanford-Big.Buffalo.Creek.WWTP","PFHxS",2019-09-04,21.3,NA,"long",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","PFNA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFNA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"North.Harnett.Regional","PFNA",2019-09-04,0.94,NA,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFNA",2019-09-04,2.07,NA,"long",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","PFNS",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFNS",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFNS",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFNS",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFOA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"North.Harnett.Regional","PFOA",2019-09-04,7.9,NA,"long",35.40727843,-78.8203801
"Town.of.Ramseur.WWTP","PFOA",2019-09-04,1.96,NA,"long",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP","PFOA",2019-09-04,11,NA,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFOS",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"North.Harnett.Regional","PFOS",2019-09-04,12.6,NA,"long",35.40727843,-78.8203801
"Town.of.Ramseur.WWTP","PFOS",2019-09-04,8.06,NA,"long",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP","PFOS",2019-09-04,1000,NA,"long",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","PFOSA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFOSA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFOSA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFOSA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFPeA",2019-09-04,18,NA,"short",35.67154993,-78.94119022
"North.Harnett.Regional","PFPeA",2019-09-04,139,NA,"short",35.40727843,-78.8203801
"Town.of.Ramseur.WWTP","PFPeA",2019-09-04,313,NA,"short",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP","PFPeA",2019-09-04,130,NA,"short",35.54719755,-79.21987282
"Town.of.Ramseur.WWTP","PFPeS",2019-09-04,NA,1.24,"short",35.72183182,-79.65364379
"North.Harnett.Regional","PFPeS",2019-09-04,NA,1.28,"short",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFPeS",2019-09-04,NA,1.3,"short",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFPeS",2019-09-04,NA,9.7,"short",35.67154993,-78.94119022
"North.Harnett.Regional","PFTeA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFTeA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFTeA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","PFTeA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFTriA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFTriA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFTriA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Town.of.Ramseur.WWTP","PFTriA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"Town.of.Ramseur.WWTP","PFUnA",2019-09-04,NA,1.24,"long",35.72183182,-79.65364379
"North.Harnett.Regional","PFUnA",2019-09-04,NA,1.28,"long",35.40727843,-78.8203801
"Sanford-Big.Buffalo.Creek.WWTP","PFUnA",2019-09-04,NA,1.3,"long",35.54719755,-79.21987282
"Cary.Western.Wake.Regional.Water.Reclamation.Facility","PFUnA",2019-09-04,NA,9.7,"long",35.67154993,-78.94119022
"Northeast.Brunswick.Regional","4.2",2019-09-03,NA,1.34,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","6.2",2019-09-03,0.617,NA,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","8.2",2019-09-03,1.09,NA,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","HFPO.DA",2019-09-03,NA,46.8,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","N.EtFOSAA",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","N.MeFOSAA",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFBA",2019-09-03,NA,1.34,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFBS",2019-09-03,NA,1.34,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFDA",2019-09-03,3.27,NA,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFDoA",2019-09-03,1.02,NA,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFDS",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFHpA",2019-09-03,18.8,NA,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFHpS",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFHxA",2019-09-03,29.5,NA,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFHxS",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFNA",2019-09-03,1.13,NA,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFNS",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFOA",2019-09-03,11.2,NA,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFOS",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFOSA",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFPeA",2019-09-03,NA,1.34,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFPeS",2019-09-03,NA,1.34,"short",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFTeA",2019-09-03,0.639,NA,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFTriA",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Northeast.Brunswick.Regional","PFUnA",2019-09-03,NA,1.34,"long",34.27175034,-78.0055035
"Fayetteville-Rockfish.Creek.WWTP","N.EtFOSAA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","N.EtFOSAA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","N.MeFOSAA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","N.MeFOSAA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFBA",2019-08-27,7.47,NA,"short",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFBA",2019-08-27,1.58,NA,"short",35.05953494,-78.86003082
"Fayetteville-Cross.Creek.WWTP","PFBS",2019-08-27,4.32,NA,"short",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFBS",2019-08-27,3.93,NA,"short",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFDA",2019-08-27,0.51,NA,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFDA",2019-08-27,0.51,NA,"long",34.96435311,-78.83344791
"Fayetteville-Rockfish.Creek.WWTP","PFDoA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFDoA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFDS",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFDS",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Cross.Creek.WWTP","PFHpA",2019-08-27,8.13,NA,"short",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFHpA",2019-08-27,12.1,NA,"short",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFHpS",2019-08-27,0.36,NA,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFHpS",2019-08-27,0.31,NA,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFHxA",2019-08-27,15.6,NA,"short",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFHxA",2019-08-27,23.9,NA,"short",34.96435311,-78.83344791
"Fayetteville-Rockfish.Creek.WWTP","PFHxS",2019-08-27,9.89,NA,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFHxS",2019-08-27,12.85,NA,"long",35.05953494,-78.86003082
"Fayetteville-Cross.Creek.WWTP","PFNA",2019-08-27,0.65,NA,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFNA",2019-08-27,0.69,NA,"long",34.96435311,-78.83344791
"Fayetteville-Rockfish.Creek.WWTP","PFNS",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFNS",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Cross.Creek.WWTP","PFOA",2019-08-27,9.21,NA,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFOA",2019-08-27,13.26,NA,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFOS",2019-08-27,22.3,NA,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFOS",2019-08-27,14.25,NA,"long",34.96435311,-78.83344791
"Fayetteville-Rockfish.Creek.WWTP","PFOSA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFOSA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Cross.Creek.WWTP","PFPeA",2019-08-27,20.65,NA,"short",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFPeA",2019-08-27,79.1,NA,"short",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFPeS",2019-08-27,0.95,NA,"short",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFPeS",2019-08-27,0.61,NA,"short",34.96435311,-78.83344791
"Fayetteville-Rockfish.Creek.WWTP","PFTeA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFTeA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFTriA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFTriA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP","PFUnA",2019-08-27,NA,11.1,"long",34.96435311,-78.83344791
"Fayetteville-Cross.Creek.WWTP","PFUnA",2019-08-27,NA,11.3,"long",35.05953494,-78.86003082
"City.of.Graham","4.2",2019-08-22,NA,1.25,"short",36.04983302,-79.37369128
"City.of.Graham","6.2",2019-08-22,1.33,NA,"short",36.04983302,-79.37369128
"City.of.Graham","8.2",2019-08-22,0.354,NA,"long",36.04983302,-79.37369128
"City.of.Graham","HFPO.DA",2019-08-22,NA,43.8,"long",36.04983302,-79.37369128
"City.of.Graham","N.EtFOSAA",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Graham","N.MeFOSAA",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Graham","PFBA",2019-08-22,NA,1.25,"short",36.04983302,-79.37369128
"City.of.Graham","PFBS",2019-08-22,NA,1.25,"short",36.04983302,-79.37369128
"City.of.Graham","PFDA",2019-08-22,1.44,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFDoA",2019-08-22,0.726,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFDS",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Graham","PFHpA",2019-08-22,4.28,NA,"short",36.04983302,-79.37369128
"City.of.Graham","PFHpS",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Graham","PFHxA",2019-08-22,11.8,NA,"short",36.04983302,-79.37369128
"City.of.Graham","PFHxS",2019-08-22,0.144,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFNA",2019-08-22,1.62,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFNS",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Graham","PFOA",2019-08-22,8.97,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFOS",2019-08-22,12.8,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFOSA",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Graham","PFPeA",2019-08-22,NA,1.25,"short",36.04983302,-79.37369128
"City.of.Graham","PFPeS",2019-08-22,NA,1.25,"short",36.04983302,-79.37369128
"City.of.Graham","PFTeA",2019-08-22,2.82,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFTriA",2019-08-22,2.02,NA,"long",36.04983302,-79.37369128
"City.of.Graham","PFUnA",2019-08-22,NA,1.25,"long",36.04983302,-79.37369128
"City.of.Randleman","4.2",2019-08-14,NA,1.38,"short",35.80812458,-79.78271331
"City.of.Randleman","6.2",2019-08-14,NA,1.38,"short",35.80812458,-79.78271331
"City.of.Randleman","8.2",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
"City.of.Randleman","HFPO.DA",2019-08-14,NA,48.22,"long",35.80812458,-79.78271331
"City.of.Randleman","N.EtFOSAA",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","N.EtFOSAA",2019-08-14,NA,5.32,"long",34.81715622,-78.00565245
"City.of.Randleman","N.MeFOSAA",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","N.MeFOSAA",2019-08-14,NA,5.32,"long",34.81715622,-78.00565245
"Town.of.Rose.Hill.WWTP","Nafion.Byproduct.2",2019-08-14,NA,NA,"long",34.81715622,-78.00565245
"City.of.Randleman","PFBA",2019-08-14,NA,1.38,"short",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","PFBA",2019-08-14,8.37,NA,"short",34.81715622,-78.00565245
"City.of.Randleman","PFBS",2019-08-14,NA,1.38,"short",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","PFBS",2019-08-14,2.6,NA,"short",34.81715622,-78.00565245
"City.of.Randleman","PFDA",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","PFDA",2019-08-14,NA,2.66,"long",34.81715622,-78.00565245
"City.of.Randleman","PFDoA",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","PFDoA",2019-08-14,NA,2.66,"long",34.81715622,-78.00565245
"City.of.Randleman","PFDS",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","PFDS",2019-08-14,NA,2.58,"long",34.81715622,-78.00565245
"City.of.Randleman","PFHpA",2019-08-14,2.94,NA,"short",35.80812458,-79.78271331
"Town.of.Rose.Hill.WWTP","PFHpA",2019-08-14,40.7,NA,"short",34.81715622,-78.00565245
"City.of.Randleman","PFHpS",2019-08-14,NA,1.38,"long",35.80812458,-79.78271331
