"lat","long","Site","Sample.Date","PFBA","PFBS","PFDS","PFDA","PFDoA","PFHpS","PFHpA","PFHxS","PFHxA","PFNS","PFNA","PFOSA","N.EtFOSAA","N.MeFOSAA","PFPeS","PFPeA","PFTeA","PFTriA","PFUnA","HFPO.DA","PFOA","PFOS","PFBA.lab","PFBS.lab","PFDS.lab","PFDA.lab","PFDoA.lab","PFHpS.lab","PFHpA.lab","PFHxS.lab","PFHxA.lab","PFNS.lab","PFNA.lab","PFOSA.lab","N.EtFOSAA.lab","N.MeFOSAA.lab","PFPeS.lab","PFPeA.lab","PFTeA.lab","PFTriA.lab","PFUnA.lab","HFPO.DA.lab","PFOA.lab","PFOS.lab","sum_pfas","sum_pfoa.pfos"
35.8802467,-78.8932025,"Durham.County.Triangle.Wastewater.Treatment.Plant","9/9/2019",44.8,NA,NA,NA,NA,NA,1.99,NA,5.73,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,6.89,NA,1.89,1.89,1.89,1.89,1.89,NA,"1.89",NA,1.89,NA,2.86,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,NA,NA,66.058,12.81
36.30801981,-79.51739008,"City.of.Reidsville","9/11/2019",NA,NA,NA,5.16,NA,NA,10.6,NA,41.1,NA,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,11.3,1.69,1.69,1.69,NA,1.69,1.69,NA,"1.69",NA,1.69,NA,2.56,1.69,1.69,1.69,1.69,1.69,1.69,1.69,NA,NA,NA,87.13,28
34.16600449,-77.94528851,"Wilmington-M'Kean.Maffitt(Southside).WWTP","9/9/2019",15,9.18,NA,NA,NA,NA,7.68,4.17,14,NA,1.09,NA,NA,NA,NA,18.4,NA,NA,NA,NA,6.98,11.8,NA,NA,1.72,1.77,1.77,1.68,NA,NA,NA,1.7,NA,1.65,3.54,17.7,1.67,NA,8.86,1.77,1.77,NA,NA,NA,88.3,18.78
34.96435311,-78.83344791,"Fayetteville-Rockfish.Creek.WWTP","9/17/2019",5.75,3.79,NA,1.15,NA,NA,11.35,6.33,20.2,NA,0.57,NA,NA,NA,0.76,24,NA,NA,NA,NA,8.11,7.7,NA,NA,1.76,NA,1.82,1.72,NA,NA,NA,1.74,NA,1.69,3.63,36.3,NA,NA,18.2,18.2,1.82,NA,NA,NA,89.71,15.81
35.94262001,-79.90908086,"City.of.High.Point.Eastside.WWTP","9/16/2019",NA,NA,NA,NA,NA,NA,3.7,9.16,10.8,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,6.8,12.1,1.7,1.7,1.7,1.7,NA,NA,NA,NA,NA,1.7,1.7,2.57,1.7,1.7,1.7,NA,1.7,1.7,1.7,NA,NA,NA,97.56,18.9
34.26246994,-77.92142112,"Wilmington-James.A.Loughlin(Northside).WWTP","9/9/2019",9.73,11,NA,1.64,NA,NA,7.69,4.31,17.6,NA,2.04,NA,NA,NA,NA,20.3,NA,NA,NA,NA,10.9,19.3,NA,NA,1.8,NA,1.86,1.76,NA,NA,NA,1.78,NA,1.73,3.72,NA,1.75,NA,9.29,1.86,1.86,NA,NA,NA,104.51,30.2
35.76613469,-79.78579884,"City.of.Asheboro.WWTP","9/5/2019",NA,NA,24.4,4.51,7.07,2.03,5.95,NA,12.4,2.19,3.87,NA,4.09,NA,NA,NA,11.4,7.15,5.04,NA,11.7,19.2,1.7,1.7,NA,NA,NA,NA,NA,"1.7",NA,NA,NA,2.57,NA,1.7,1.7,1.7,NA,NA,NA,NA,NA,NA,121,30.9
35.64598133,-78.85109368,"Town.of.Holly.Springs","9/11/2019",8,6,4.9,NA,NA,NA,27,NA,37,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,10,7.6,NA,NA,NA,5.1,5.1,NA,4.8,NA,5.1,10,10,NA,5.1,5.1,5.1,10,10,5.1,5.1,NA,NA,NA,131.5,17.6
35.80812458,-79.78271331,"City.of.Randleman","9/18/2019",NA,NA,NA,0.375,NA,NA,3.79,NA,9.82,NA,1.5,NA,NA,NA,NA,96,NA,NA,NA,NA,7.05,14.7,0.212,0.212,0.212,NA,0.212,0.212,NA,"0.212",NA,0.212,NA,0.32,0.212,0.212,0.212,NA,0.212,0.212,0.212,7.42,NA,NA,133.235,21.75
35.00515516,-78.34442384,"Cit.of.Clinton-Norman.H.Larkins.WWTP","9/9/2019",NA,NA,NA,0.452,NA,NA,4.01,NA,9.21,NA,0.503,NA,NA,NA,NA,115,NA,NA,NA,NA,4.07,10.2,1.34,1.34,1.34,NA,1.34,1.34,NA,"1.34",NA,1.34,NA,1.34,1.34,1.34,1.34,NA,1.34,1.34,1.34,NA,NA,NA,143.445,14.27
36.09864301,-79.68893648,"Greensboro-TZ.Osborne.WRF","9/17/2019",13,25,NA,0.8,NA,NA,7.4,15.3,18,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,14.9,47.1,NA,NA,7.1,NA,7.4,1.7,NA,NA,NA,1.7,7.4,2.57,15,15,1.7,NA,7.4,7.4,7.4,NA,NA,NA,161.5,62
35.05953494,-78.86003082,"Fayetteville-Cross.Creek.WWTP","9/17/2019",12.5,4.3,NA,1.72,0.05,0.44,14.65,20.15,35.25,NA,1.67,NA,NA,NA,1.04,26.55,NA,NA,NA,NA,17.1,28.3,NA,NA,1.69,NA,NA,NA,NA,NA,NA,1.67,NA,1.62,3.48,3.48,NA,NA,17.4,17.4,1.74,NA,NA,NA,163.72,45.4
36.02454813,-79.36944141,"South.Burlington.WWTP","9/17/2019",NA,NA,NA,4.7,NA,NA,24.7,8.92,73.1,NA,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,23.7,1.82,1.82,1.82,NA,1.82,1.82,NA,NA,NA,1.82,NA,2.74,1.82,1.82,1.82,1.82,1.82,1.82,1.82,NA,NA,NA,171.46,53.4
35.90402079,-78.97846588,"City.of.Durham-South.Durham.Water.Reclamation","9/9/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,5.86,8.44,4.87,4.87,4.87,0.422,4.87,4.87,4.87,"4.87",4.87,4.87,4.87,4.87,4.87,4.87,4.87,NA,4.87,4.87,4.87,NA,NA,NA,219.3,14.3
35.40727843,-78.8203801,"North.Harnett.Regional","9/4/2019",13.2,NA,NA,0.24,NA,NA,29.9,NA,36.2,NA,0.94,NA,NA,NA,NA,139,NA,NA,NA,NA,7.9,12.6,NA,1.28,1.28,NA,1.28,1.28,NA,"1.28",NA,1.28,NA,1.28,1.28,1.28,1.28,NA,1.28,1.28,1.28,44.91,NA,NA,239.98,20.5
34.97691246,-79.1947716,"City.of.Raeford","9/16/2019",NA,80.4,NA,0,NA,NA,4.44,61.8,13.2,NA,NA,NA,NA,NA,4.67,10.3,NA,NA,NA,NA,NA,124,17,NA,170,NA,420,170,NA,NA,NA,170,170,170,830,830,NA,NA,170,170,170,NA,170,NA,298.81,124
34.73817439,-77.99263394,"Wallace.Regional.WWTP","9/18/2019",NA,NA,NA,NA,NA,NA,2.48,NA,6.77,NA,0.506,NA,NA,NA,NA,299,NA,NA,NA,NA,4.9,11.6,0.239,0.239,0.239,0.239,0.239,0.239,NA,"0.239",NA,0.24,NA,0.362,0.239,0.239,0.239,NA,0.239,0.239,0.239,NA,NA,NA,325.256,16.5
35.72183182,-79.65364379,"Town.of.Ramseur.WWTP","9/4/2019",NA,NA,NA,NA,NA,NA,NA,NA,4.64,NA,NA,NA,NA,NA,NA,313,NA,NA,NA,NA,1.96,8.06,1.24,1.24,1.24,1.24,1.24,1.24,1.24,"1.24",NA,1.24,1.24,1.24,1.24,1.24,1.24,NA,1.24,1.24,1.24,43.3,NA,NA,327.66,10.02
36.08862094,-79.28544925,"City.of.Mebane.WWTP","9/10/2019",NA,NA,NA,NA,NA,NA,6.86,NA,28,NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,17.1,14.6,5.31,5.31,5.31,5.31,5.31,5.31,NA,"5.31",NA,5.31,5.31,5.31,5.31,5.31,5.31,NA,5.31,5.31,5.31,NA,NA,NA,350.56,31.7
35.54719755,-79.21987282,"Sanford-Big.Buffalo.Creek.WWTP","9/4/2019",NA,NA,NA,NA,NA,16.6,122,21.3,61.8,NA,2.07,NA,NA,NA,NA,130,NA,NA,NA,NA,11,1000,1.3,1.3,1.3,1.3,1.3,NA,NA,NA,NA,1.3,NA,1.3,1.3,1.3,1.3,NA,1.3,1.3,1.3,45.6,NA,NA,1364.77,1011
