"Site","Sample.Date","Analyte","ppt","lab.qual","chain.length","lat","long"
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFHpS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFHxA",NA,41,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFHxS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFNA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFNS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFOA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFOS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFPeS",NA,41,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFUnA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"FOSA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"HFPO.DA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFBS",NA,41,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFDA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFHpA",NA,41,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFHxS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFNA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFNS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFOA",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFOS",NA,41,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFPeS",NA,41,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"FOSA",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"HFPO.DA",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFBA",NA,41,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFBS",NA,41,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFDA",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFHpA",NA,41,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFHxS",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFNA",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFNS",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFOA",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFOS",NA,41,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"4.2",NA,41,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"FOSA",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFBA",NA,41,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFBS",NA,41,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFDoA",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFDS",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFHpS",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFNA",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFNS",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFOA",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFTriA",NA,41,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFUnA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"FOSA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFBA",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFBS",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFDA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFHpA",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFNA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFNS",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFOA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFOS",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFPeA",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"4.2",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"8.2",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"FOSA",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFBA",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFBS",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFDoA",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFHpA",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFHpS",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFHxA",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFNA",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFNS",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFOA",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFOS",NA,41,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFUnA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"4.2",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"8.2",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"FOSA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFBA",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFBS",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFDoA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFHpS",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFHxA",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFNA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFNS",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFOA",NA,41,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFUnA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"4.2",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"8.2",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"FOSA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFBS",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFHpS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFNA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFNS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFOA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFUnA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"4.2",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"8.2",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"FOSA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFBS",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFDoA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFHpS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFNA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFNS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFOA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFUnA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"4.2",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"FOSA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"HFPO.DA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFBS",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFDoA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFDS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFHpS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFHxS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFNA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFNS",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFPeS",NA,41,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFTriA",NA,41,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFUnA",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"4.2",NA,41,"short",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"HFPO.DA",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFBS",NA,41,"short",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFDA",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFHpA",NA,41,"short",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFHpS",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFHxA",NA,41,"short",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFHxS",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFOA",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFOS",NA,41,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFPeA",NA,41,"short",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFPeS",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"4.2",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"6.2",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"FOSA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"HFPO.DA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"NMeFOSAA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFBA",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFBS",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFDA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFDoA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFDS",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFHpA",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFHpS",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFHxA",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFHxS",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFNA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFNS",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFOA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFOS",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFPeA",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFPeS",NA,41,"short",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFTriA",NA,41,"long",NA,NA
"EnoRiver@SR1004",2018-11-29,"PFUnA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"4.2",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"6.2",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"FOSA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"HFPO.DA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"NMeFOSAA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFBA",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFBS",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFDA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFDoA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFDS",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFHpA",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFHpS",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFHxA",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFHxS",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFNA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFNS",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFOA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFOS",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFPeA",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFPeS",NA,41,"short",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFTriA",NA,41,"long",NA,NA
"FlatRiver@SR1004",2018-11-29,"PFUnA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"4.2",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"6.2",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"FOSA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"HFPO.DA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"NMeFOSAA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFBA",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"PFBS",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"PFDA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFDoA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFDS",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFHpA",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"PFHpS",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFHxA",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"PFHxS",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFNA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFNS",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFOA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFOS",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFPeA",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"PFPeS",NA,41,"short",NA,NA
"KnapofReedsCreek",2018-10-25,"PFTriA",NA,41,"long",NA,NA
"KnapofReedsCreek",2018-10-25,"PFUnA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"4.2",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"6.2",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"FOSA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"HFPO.DA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"NMeFOSAA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFBA",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFBS",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFDA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFDoA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFDS",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFHpA",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFHpS",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFHxA",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFHxS",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFNA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFNS",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFOA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFOS",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFPeA",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFPeS",NA,41,"short",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFTriA",NA,41,"long",NA,NA
"EllerbeCreek@SR1636",2018-11-29,"PFUnA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"4.2",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"6.2",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"FOSA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"HFPO.DA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"NMeFOSAA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFBA",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFBS",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFDA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFDoA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFDS",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFHpA",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFHpS",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFHxA",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFHxS",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFNA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFNS",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFOA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFOS",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFPeA",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFPeS",NA,41,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFTriA",NA,41,"long",NA,NA
"FallLake@I-85nearNorthsideNC",2018-11-29,"PFUnA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"4.2",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"6.2",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"FOSA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"HFPO.DA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFBS",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFDoA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFDS",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFHpA",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFHpS",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFHxA",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFHxS",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFNA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFNS",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFOA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFOS",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFPeA",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFPeS",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFTriA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFUnA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"4.2",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"6.2",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"FOSA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"HFPO.DA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"NMeFOSAA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFBA",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFBS",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFDA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFDoA",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFDS",NA,41,"long",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFHpA",NA,41,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-10-25,"PFHpS",NA,41,"long",NA,NA
