"Site","Sample.Date","Analyte","ppt","lab.qual","chain.length","lat","long"
"THIRDFORKCRKATNC54NRDURHAM",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-04-11,"PFDA",NA,160,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"THIRDFORKCRKATNC54NRDURHAM",2018-06-13,"PFDA",NA,160,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"6.2",NA,160,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-04-11,"PFDA",NA,160,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-06-13,"PFDA",NA,160,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-04-11,"6.2",NA,160,"short",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-04-11,"PFDA",NA,160,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"NORTHEASTCRKATSR1100NRNELSON",2018-06-13,"PFDA",NA,160,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-04-11,"6.2",NA,160,"short",NA,NA
"PHILSCRKNRCAVANDER",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-04-11,"PFDA",NA,160,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"PHILSCRKNRCAVANDER",2018-06-13,"PFDA",NA,160,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-04-11,"6.2",NA,160,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-04-11,"PFDA",NA,160,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-06-13,"PFDA",NA,160,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-04-11,"6.2",NA,160,"short",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-04-11,"PFDA",NA,160,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"HAWRIVBELOWJORDANDAMNRMONCURE",2018-06-13,"PFDA",NA,160,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-06-13,"PFDA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-06-13,"PFDA",NA,160,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"6.2",NA,160,"short",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-04-11,"PFDA",NA,160,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-05-09,"PFTriA",NA,160,"long",NA,NA
"JORDANLAKENEARFARRINGTONNC",2018-06-13,"PFDA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"6.2",NA,160,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-04-11,"PFDA",NA,160,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-06-13,"PFDA",NA,160,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-02-21,"PFDoA",NA,160,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"6.2",NA,160,"short",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"NMeFOSAA",NA,160,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-04-11,"PFDA",NA,160,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-06-13,"PFDA",NA,160,"long",NA,NA
"CarthageCityLakeatDamNRCarthage,NC",2018-06-06,"PFDA",NA,160,"long",NA,NA
"HarrisLakeatSR1915nrCorinth,NC",2018-05-01,"PFDoA",NA,160,"long",NA,NA
"HarrisLakeatSR1915nrCorinth,NC",2018-05-01,"PFNS",NA,160,"long",NA,NA
"GlenvilleLakeatDamNRFayetteville,NC",2018-06-06,"PFDA",NA,160,"long",NA,NA
"BuckhornDamLakeUpstreamofDam",2018-05-01,"PFDoA",NA,160,"long",NA,NA
"BuckhornDamLakeUpstreamofDam",2018-05-01,"PFNS",NA,160,"long",NA,NA
"CaneCreekReservoiratDamnrOaks,NC",2018-05-03,"PFDoA",NA,160,"long",NA,NA
"CaneCreekReservoiratDamnrOaks,NC",2018-05-03,"PFNS",NA,160,"long",NA,NA
"UniversityLakeatDamnrChapelHill,NC",2018-05-03,"PFNS",NA,160,"long",NA,NA
"EnoRiver@SR1004",2018-07-26,"PFBA",NA,160,"short",NA,NA
"FlatRiver@SR1004",2018-07-26,"PFBA",NA,160,"short",NA,NA
"KnapofReedsCreek",2018-07-26,"PFBA",NA,160,"short",NA,NA
"EllerbeCreek@SR1636",2018-07-26,"PFBA",NA,160,"short",NA,NA
"NeuseRiver@SR2000",2018-07-26,"PFBA",NA,160,"short",NA,NA
"FallLake@I-85nearNorthsideNC",2018-07-26,"PFBA",NA,160,"short",NA,NA
"FallsLake@MthLittleLickCreeknearMarker#13",2018-07-26,"PFBA",NA,160,"short",NA,NA
"FallsLake@MouthLedgeCreeknearCreedmoorNC",2018-07-26,"PFBA",NA,160,"short",NA,NA
"FallsLake@ChannelMarker#6nearBayleafNC",2018-07-26,"PFBA",NA,160,"short",NA,NA
"FallsLake@Marker#1nearBayleafNC",2018-07-26,"PFBA",NA,160,"short",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-05-09,"PFDS",NA,150,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-05-09,"PFDS",NA,150,"long",NA,NA
"LakeMackintoshatDam",2018-05-03,"PFNA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-04-11,"6.2",NA,150,"short",NA,NA
"LakeMackintoshatDam",2018-05-03,"PFDoA",NA,150,"long",NA,NA
"LakeMackintoshatDam",2018-05-03,"PFNS",NA,150,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-04-11,"6.2",NA,150,"short",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-04-11,"NMeFOSAA",NA,150,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-04-11,"PFDA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-04-11,"NMeFOSAA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-04-11,"PFDA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFNEWHOPECREEK",2018-06-13,"PFDA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-02-21,"PFDoA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-04-11,"6.2",NA,150,"short",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-04-11,"NMeFOSAA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFMORGANCKNRFARRINGTON",2018-04-11,"PFDA",NA,150,"long",NA,NA
"JORDANLAKEATMOUTHOFWHITEOAKCREEKNRSEAFORTH",2018-05-09,"PFTriA",NA,150,"long",NA,NA
"JORDANLAKEATNARROWSNEARBONSAL",2018-05-09,"PFTriA",NA,150,"long",NA,NA
"GrahamMebaneReservoiratDamnearHawRiver",2018-06-07,"PFDA",NA,150,"long",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-01-03,"6.2",NA,120,"short",NA,NA
"HAWRIVATSR1713NRBYNUM",2018-01-03,"NMeFOSAA",NA,120,"long",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-01-03,"6.2",NA,120,"short",NA,NA
"NEWHOPECRKATSR1107NRBLANDS",2018-01-03,"NMeFOSAA",NA,120,"long",NA,NA
"NORTHEASTCRKATSR1731OKELLYCHURCHRDNRDURHAM",2018-01-03,"6.2",NA,120,"short",NA,NA
"NORTHEASTCRKATSR1731OKELLYCHURCHRDNRDURHAM",2018-01-03,"NMeFOSAA",NA,120,"long",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-01-03,"6.2",NA,120,"short",NA,NA
"MORGANCRKATSR1726NRFARRINGTON",2018-01-03,"NMeFOSAA",NA,120,"long",NA,NA
"JORDANLAKEABOVESTINKINGCREEKNRPITTSBORONC",2018-01-03,"6.2",NA,120,"short",NA,NA
