"Site","Sample.Date","4.2","6.2","8.2","HFPO.DA","N.EtFOSAA","N.MeFOSAA","Nafion.Byproduct.2","PFBA","PFBS","PFDA","PFDoA","PFDS","PFHpA","PFHpS","PFHxA","PFHxS","PFMOAA","PFMOBA","PFMOPrA","PFNA","PFNS","PFO2HxA","PFO3OA","PFO4DA","PFOA","PFOS","PFOSA","PFPeA","PFPeS","PFPrOPrA","PFTeA","PFTriA","PFUnA","PFHxDA","PFODA","10.2","ADONA","N.EtFOSA","Nafion.Byproduct.1","N.EtFOSE","N.MeFOSA","N.MeFOSE","PF3ONS","PF3OUdS","PFECA.G","TotalPFAS","SumPFOA.PFOS","short.ppt","long.ppt","Type","lat","long"
"Fayetteville-Cross.Creek.WWTP",2019-07-16,NA,NA,NA,NA,NA,NA,NA,21.3,NA,2.97,NA,NA,11.9,NA,35.5,20.4,NA,NA,NA,1.77,NA,NA,NA,NA,18.2,26.9,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.74,45.1,109.1,88.64,"WWTP",35.05953494,-78.86003082
"Fayetteville-Rockfish.Creek.WWTP",2019-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,8.63,NA,20,12.1,NA,NA,NA,1.28,NA,NA,NA,NA,10.9,19.6,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.24,30.5,63.73,63.51,"WWTP",34.96435311,-78.83344791
"East.Burlington.WWTP",2019-07-16,NA,NA,NA,NA,8.37,16.6,NA,116,49.5,20.8,4.86,NA,873,NA,511,NA,NA,NA,NA,11.7,NA,NA,NA,NA,73,49.8,NA,374,NA,NA,NA,NA,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2142.4,122.8,1933.9,208.5,"WWTP",36.09382721,-79.37771112
"City.of.Raeford",2019-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0,10.4,18.4,"WWTP",34.97691246,-79.1947716
"Wallace.Regional.WWTP",2019-07-11,NA,NA,NA,NA,NA,1.18,NA,3.41,3.22,0.789,NA,NA,1.03,NA,6.9,0.808,NA,NA,NA,NA,NA,NA,NA,NA,2.96,4.78,NA,6.26,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.187,7.74,32.27,28.917,"WWTP",34.73817439,-77.99263394
"Cit.of.Clinton-Norman.H.Larkins.WWTP",2019-07-11,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,NA,1.17,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,2.29,NA,5.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.69,4.48,28.81,22.88,"WWTP",35.00515516,-78.34442384
"City.of.Asheboro.WWTP",2019-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.47,19.8,NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.23,29.27,49.56,47.67,"WWTP",35.76613469,-79.78579884
"Wilmington-James.A.Loughlin(Northside.WWTP",2019-07-09,NA,NA,NA,NA,NA,NA,NA,4.22,12.3,1.28,NA,NA,4.79,NA,14,3.78,43.1,NA,13.8,1.27,NA,29.7,12.9,2.61,6.61,8.83,NA,15.6,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.09,15.44,61.31,40.17,"WWTP",34.26246994,-77.92142112
"Wilmington-M'Kean.Maffitt(Southside.WWTP",2019-07-09,NA,NA,NA,NA,NA,NA,1.57,4.28,6.83,NA,NA,NA,4.8,NA,13,3.41,52,NA,NA,0.683,NA,36,15,4.27,4.89,13.4,NA,15.1,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.733,18.29,54.41,40.783,"WWTP",34.16600449,-77.94528851
"Cary.Western.Wake.Regional.Water.Reclamation.Facility",2019-07-09,NA,NA,NA,NA,NA,NA,NA,15,NA,1.1,NA,NA,3.6,NA,15,NA,NA,NA,NA,0.41,NA,NA,NA,NA,4.4,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.31,4.4,59,24.31,"WWTP",35.67154993,-78.94119022
"City.of.Reidsville",2019-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,NA,NA,7.34,NA,68.3,NA,NA,NA,NA,2.68,NA,NA,NA,NA,19.9,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.79,37.2,86.04,61.75,"WWTP",36.3236797,-79.66750151
"City.of.Mebane.WWTP",2019-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,NA,5.84,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,28.8,44.24,52.36,"WWTP",36.08862094,-79.28544925
"Town.of.Ramseur.WWTP",2019-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586,NA,NA,1.24,NA,6.97,NA,NA,NA,NA,0.782,NA,NA,NA,NA,2.93,6.52,NA,41.8,NA,NA,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.389,9.45,60.41,29.979,"WWTP",35.72183182,-79.65364379
"Sanford-Big.Buffalo.Creek.WWTP",2019-07-08,NA,80,1.78,NA,NA,NA,NA,12.1,NA,1.86,NA,NA,18.8,NA,NA,31.9,NA,NA,NA,NA,2.51,NA,NA,NA,11.6,46.3,NA,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.67,57.9,92.1,112.57,"WWTP",35.54719755,-79.21987282
"Northeast.Brunswick.Regional",2019-07-08,NA,0.944,1.67,NA,NA,NA,NA,10.6,NA,2.45,NA,NA,11.7,NA,27.9,NA,NA,NA,NA,1.69,NA,NA,NA,NA,12.9,14.8,NA,77.8,NA,NA,1.13,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.925,27.7,138.4,51.525,"WWTP",34.27175034,-78.0055035
"North.Harnett.Regional",2019-07-08,NA,NA,NA,NA,NA,NA,NA,NA,4.65,1.04,0.62,NA,14.9,NA,38.7,NA,NA,NA,NA,2.13,NA,NA,NA,NA,11.4,29.4,NA,NA,NA,NA,0.964,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.26,40.8,68.65,64.61,"WWTP",35.40727843,-78.8203801
"City.of.Durham-South.Durham.Water.Reclamation",2019-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,NA,15.8,NA,NA,NA,NA,1.72,NA,NA,NA,NA,10.7,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.37,25.6,31.65,45.72,"WWTP",35.90402079,-78.97846588
"Siler.City.Waste.Water.Treatment.Plant",2019-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,9.94,2,NA,NA,NA,NA,NA,NA,NA,NA,5.49,5.66,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.49,11.15,36.94,31.55,"WWTP",35.72833511,-79.42704286
"City.of.High.Point.Eastside.WWTP",2019-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.62,NA,18.4,11.3,NA,NA,NA,NA,NA,NA,NA,NA,14.2,27.7,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.12,41.9,62.52,71.6,"WWTP",35.94262001,-79.90908086
"Durham.County.Triangle.Wastewater.Treatment.Plant",2019-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,NA,NA,3.4,NA,10.7,NA,NA,NA,NA,1.42,NA,NA,NA,NA,7.72,11,NA,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.31,18.72,60.9,40.41,"WWTP",35.8802467,-78.8932025
"Greensboro-TZ.Osborne.WRF",2019-07-08,NA,NA,NA,NA,NA,NA,NA,3.1,2.5,2.9,NA,NA,6.5,NA,24.7,9.4,NA,NA,NA,NA,NA,NA,NA,NA,11.2,25.6,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.7,36.8,69.2,67.5,"WWTP",36.09864301,-79.68893648
