"Site","Sample.Date","4.2","6.2","8.2","HFPO.DA","N.EtFOSAA","N.MeFOSAA","Nafion.Byproduct.2","PFBA","PFBS","PFDA","PFDoA","PFDS","PFHpA","PFHpS","PFHxA","PFHxS","PFMOAA","PFMOBA","PFMOPrA","PFNA","PFNS","PFO2HxA","PFO3OA","PFO4DA","PFOA","PFOS","PFOSA","PFPeA","PFPeS","PFPrOPrA","PFTeA","PFTriA","PFUnA","PFHxDA","PFODA","10.2","ADONA","N.EtFOSA","Nafion.Byproduct.1","N.EtFOSE","N.MeFOSA","N.MeFOSE","PF3ONS","PF3OUdS","PFECA.G","TotalPFAS","SumPFOA.PFOS","short.ppt","long.ppt","Type","lat","long"
"City.of.Mebane.WWTP",2019-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.86,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,14.6,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.36,31.7,329.26,50.1,"WWTP",36.08862094,-79.28544925
"Wilmington-James.A.Loughlin(Northside.WWTP",2019-09-09,NA,NA,NA,NA,NA,NA,1.88,9.73,11,1.64,NA,NA,7.69,NA,17.6,4.31,55.5,2.72,17.6,2.04,NA,46.8,19.7,5.9,10.9,19.3,NA,20.3,NA,9.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.22,30.2,76.72,56.59,"WWTP",34.26246994,-77.92142112
"Wilmington-M'Kean.Maffitt(Southside.WWTP",2019-09-09,NA,NA,NA,NA,NA,NA,2.48,15,9.18,NA,NA,NA,7.68,NA,14,4.17,69.3,2.96,21.4,1.09,NA,60.8,25.3,7.9,6.98,11.8,NA,18.4,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.04,18.78,74.66,42.44,"WWTP",34.16600449,-77.94528851
"City.of.Durham-South.Durham.Water.Reclamation",2019-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86,8.44,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.1,14.3,215.4,32.7,"WWTP",35.90402079,-78.97846588
"Cit.of.Clinton-Norman.H.Larkins.WWTP",2019-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,NA,NA,4.01,NA,9.21,NA,NA,NA,NA,0.503,NA,NA,NA,NA,4.07,10.2,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.245,14.27,138.62,33.625,"WWTP",35.00515516,-78.34442384
"Durham.County.Triangle.Wastewater.Treatment.Plant",2019-09-09,NA,NA,NA,NA,NA,NA,NA,44.8,NA,NA,NA,NA,1.99,NA,5.73,NA,NA,NA,NA,0.728,NA,NA,NA,NA,5.92,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.858,12.81,62.92,31.938,"WWTP",35.8802467,-78.8932025
"Siler.City.Waste.Water.Treatment.Plant",2019-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,NA,6.15,1.46,NA,NA,NA,NA,NA,NA,NA,NA,3.71,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.06,7.6,18.6,27.46,"WWTP",35.72833511,-79.42704286
"City.of.Asheboro.WWTP",2019-09-05,NA,NA,NA,NA,4.09,NA,NA,NA,NA,4.51,7.07,24.4,5.95,2.03,12.4,NA,NA,NA,NA,3.87,2.19,NA,NA,NA,11.7,19.2,NA,NA,NA,NA,11.4,7.15,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.8,30.9,28.75,121.05,"WWTP",35.76613469,-79.78579884
"Town.of.Ramseur.WWTP",2019-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,8.06,NA,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.46,10.02,328.04,28.42,"WWTP",35.72183182,-79.65364379
"North.Harnett.Regional",2019-09-04,NA,NA,0.157,NA,NA,NA,NA,13.2,NA,0.24,NA,NA,29.9,NA,36.2,NA,NA,NA,NA,0.94,NA,NA,NA,NA,7.9,12.6,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.78,20.5,228.7,40.08,"WWTP",35.40727843,-78.8203801
